flags,intent,utterance,category,input_ids,attention_mask,labels
BE,recover_password,I do not know what I need to do to recover my password,ACCOUNT,"[101, 8980, 1035, 20786, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2079, 2025, 2113, 2054, 1045, 2342, 2000, 2079, 2000, 8980, 2026, 20786, 102]"
BIP,change_shipping_address,how could I change my shipping address?,SHIPPING_ADDRESS,"[101, 2689, 1035, 7829, 1035, 4769, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 2129, 2071, 1045, 2689, 2026, 7829, 4769, 1029, 102]"
BIP,change_order,could I add something?,ORDER,"[101, 2689, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 2071, 1045, 5587, 2242, 1029, 102]"
BCILZ,edit_account,"I want to update my online profile, how do I od it?",ACCOUNT,"[101, 10086, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2215, 2000, 10651, 2026, 3784, 6337, 1010, 2129, 2079, 1045, 1051, 2094, 2009, 1029, 102]"
BI,recover_password,can you tell me about a password recovery?,ACCOUNT,"[101, 8980, 1035, 20786, 102]","[1, 1, 1, 1, 1]","[101, 2064, 2017, 2425, 2033, 2055, 1037, 20786, 7233, 1029, 102]"
B,cancel_order,assistance with cancelling the last order I made,ORDER,"[101, 17542, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 5375, 2007, 17542, 2989, 1996, 2197, 2344, 1045, 2081, 102]"
BI,check_refund_policy,are the charges for services refundable?,REFUND,"[101, 4638, 1035, 25416, 8630, 1035, 3343, 102]","[1, 1, 1, 1, 1, 1, 1, 1]","[101, 2024, 1996, 5571, 2005, 2578, 25416, 18426, 3468, 1029, 102]"
B,review,help leaving a review,FEEDBACK,"[101, 3319, 102]","[1, 1, 1]","[101, 2393, 2975, 1037, 3319, 102]"
BKM,check_cancellation_fee,check cancellation fees,CANCELLATION_FEE,"[101, 4638, 1035, 16990, 1035, 7408, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 4638, 16990, 9883, 102]"
B,delete_account,I need assistance to delete the account,ACCOUNT,"[101, 3972, 12870, 1035, 4070, 102]","[1, 1, 1, 1, 1, 1]","[101, 1045, 2342, 5375, 2000, 3972, 12870, 1996, 4070, 102]"
BI,check_refund_policy,what is your money back policy?,REFUND,"[101, 4638, 1035, 25416, 8630, 1035, 3343, 102]","[1, 1, 1, 1, 1, 1, 1, 1]","[101, 2054, 2003, 2115, 2769, 2067, 3343, 1029, 102]"
BM,delivery_options,I am trying to check what delivery options I can choose,DELIVERY,"[101, 6959, 1035, 7047, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2572, 2667, 2000, 4638, 2054, 6959, 7047, 1045, 2064, 5454, 102]"
BEL,contact_customer_service,I do not know what to do to talk with customer assistance,CONTACT,"[101, 3967, 1035, 8013, 1035, 2326, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2079, 2025, 2113, 2054, 2000, 2079, 2000, 2831, 2007, 8013, 5375, 102]"
BLM,edit_account,I need help to change the details on my user account,ACCOUNT,"[101, 10086, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2342, 2393, 2000, 2689, 1996, 4751, 2006, 2026, 5310, 4070, 102]"
BLQ,edit_account,I'm trying to correct the user info,ACCOUNT,"[101, 10086, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 1045, 1005, 1049, 2667, 2000, 6149, 1996, 5310, 18558, 102]"
BMP,registration_problems,I don't know how I could report registration issues,ACCOUNT,"[101, 8819, 1035, 3471, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2123, 1005, 1056, 2113, 2129, 1045, 2071, 3189, 8819, 3314, 102]"
B,recover_password,I want assistance recovering my password,ACCOUNT,"[101, 8980, 1035, 20786, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2215, 5375, 13400, 2026, 20786, 102]"
B,edit_account,I don't know how to edit the information on my account,ACCOUNT,"[101, 10086, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2123, 1005, 1056, 2113, 2129, 2000, 10086, 1996, 2592, 2006, 2026, 4070, 102]"
BKLZ,complaint,make consmuer complaint,FEEDBACK,"[101, 12087, 102]","[1, 1, 1]","[101, 2191, 9530, 6491, 13094, 12087, 102]"
BKM,check_invoice,checking invoice from 11 months ago,INVOICE,"[101, 4638, 1035, 1999, 6767, 6610, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 9361, 1999, 6767, 6610, 2013, 2340, 2706, 3283, 102]"
B,check_payment_methods,I want to check what payment methods are available,PAYMENT,"[101, 4638, 1035, 7909, 1035, 4725, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2215, 2000, 4638, 2054, 7909, 4725, 2024, 2800, 102]"
B,delete_account,find information about a user account deletion,ACCOUNT,"[101, 3972, 12870, 1035, 4070, 102]","[1, 1, 1, 1, 1, 1]","[101, 2424, 2592, 2055, 1037, 5310, 4070, 3972, 20624, 2239, 102]"
B,cancel_order,I don't want the last order I made,ORDER,"[101, 17542, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2123, 1005, 1056, 2215, 1996, 2197, 2344, 1045, 2081, 102]"
BM,get_invoice,help me to get the invoice from 8 months ago,INVOICE,"[101, 2131, 1035, 1999, 6767, 6610, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 2393, 2033, 2000, 2131, 1996, 1999, 6767, 6610, 2013, 1022, 2706, 3283, 102]"
BIP,track_refund,could you help me to track the refund?,REFUND,"[101, 2650, 1035, 25416, 8630, 102]","[1, 1, 1, 1, 1, 1]","[101, 2071, 2017, 2393, 2033, 2000, 2650, 1996, 25416, 8630, 1029, 102]"
B,cancel_order,help me canceling the last order I made,ORDER,"[101, 17542, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 2393, 2033, 17542, 2075, 1996, 2197, 2344, 1045, 2081, 102]"
B,track_refund,I need to check if there is anything new on my refund,REFUND,"[101, 2650, 1035, 25416, 8630, 102]","[1, 1, 1, 1, 1, 1]","[101, 1045, 2342, 2000, 4638, 2065, 2045, 2003, 2505, 2047, 2006, 2026, 25416, 8630, 102]"
BM,get_invoice,I am trying to get the invoice from 2 purchases ago,INVOICE,"[101, 2131, 1035, 1999, 6767, 6610, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2572, 2667, 2000, 2131, 1996, 1999, 6767, 6610, 2013, 1016, 17402, 3283, 102]"
B,check_refund_policy,help to check under what circumstances can I ask for refunds,REFUND,"[101, 4638, 1035, 25416, 8630, 1035, 3343, 102]","[1, 1, 1, 1, 1, 1, 1, 1]","[101, 2393, 2000, 4638, 2104, 2054, 6214, 2064, 1045, 3198, 2005, 25416, 26698, 102]"
BCLQZ,switch_account,i dont use these profile help changing to my other one,ACCOUNT,"[101, 6942, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2123, 2102, 2224, 2122, 6337, 2393, 5278, 2000, 2026, 2060, 2028, 102]"
BLMQZ,registration_problems,i have got to notify of sgnup issues,ACCOUNT,"[101, 8819, 1035, 3471, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2031, 2288, 2000, 2025, 8757, 1997, 22214, 11231, 2361, 3314, 102]"
BL,change_shipping_address,support trying to correct my shipping address,SHIPPING_ADDRESS,"[101, 2689, 1035, 7829, 1035, 4769, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 2490, 2667, 2000, 6149, 2026, 7829, 4769, 102]"
BIM,place_order,is it possible to buy some of your item?,ORDER,"[101, 2173, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 2003, 2009, 2825, 2000, 4965, 2070, 1997, 2115, 8875, 1029, 102]"
BM,delivery_options,I call to check what delivery options are available,DELIVERY,"[101, 6959, 1035, 7047, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2655, 2000, 4638, 2054, 6959, 7047, 2024, 2800, 102]"
B,track_refund,I have got to check the refund status,REFUND,"[101, 2650, 1035, 25416, 8630, 102]","[1, 1, 1, 1, 1, 1]","[101, 1045, 2031, 2288, 2000, 4638, 1996, 25416, 8630, 3570, 102]"
BE,track_refund,I do not know how to check my refund status,REFUND,"[101, 2650, 1035, 25416, 8630, 102]","[1, 1, 1, 1, 1, 1]","[101, 1045, 2079, 2025, 2113, 2129, 2000, 4638, 2026, 25416, 8630, 3570, 102]"
BLM,registration_problems,help informing of signup problems,ACCOUNT,"[101, 8819, 1035, 3471, 102]","[1, 1, 1, 1, 1]","[101, 2393, 21672, 1997, 3696, 6279, 3471, 102]"
B,check_payment_methods,I try to check what payment methods are available,PAYMENT,"[101, 4638, 1035, 7909, 1035, 4725, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 1045, 3046, 2000, 4638, 2054, 7909, 4725, 2024, 2800, 102]"
BE,review,I do not know what to do to leave a review for a service,FEEDBACK,"[101, 3319, 102]","[1, 1, 1]","[101, 1045, 2079, 2025, 2113, 2054, 2000, 2079, 2000, 2681, 1037, 3319, 2005, 1037, 2326, 102]"
BILMQZ,edit_account,how do i edit the details on my accont,ACCOUNT,"[101, 10086, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 2129, 2079, 1045, 10086, 1996, 4751, 2006, 2026, 16222, 12162, 102]"
B,contact_customer_service,I try to check what hours customer service available is,CONTACT,"[101, 3967, 1035, 8013, 1035, 2326, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 1045, 3046, 2000, 4638, 2054, 2847, 8013, 2326, 2800, 2003, 102]"
BIP,change_order,would it be possible to change an order?,ORDER,"[101, 2689, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 2052, 2009, 2022, 2825, 2000, 2689, 2019, 2344, 1029, 102]"
B,create_account,I don't know what I need to do to create an account,ACCOUNT,"[101, 3443, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2123, 1005, 1056, 2113, 2054, 1045, 2342, 2000, 2079, 2000, 3443, 2019, 4070, 102]"
BELZ,change_shipping_address,I do not knlw what I have to do to correct the address,SHIPPING_ADDRESS,"[101, 2689, 1035, 7829, 1035, 4769, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2079, 2025, 14161, 2140, 2860, 2054, 1045, 2031, 2000, 2079, 2000, 6149, 1996, 4769, 102]"
BM,change_order,I have problems with removing an item,ORDER,"[101, 2689, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2031, 3471, 2007, 9268, 2019, 8875, 102]"
BM,delete_account,I want information about user account deletions,ACCOUNT,"[101, 3972, 12870, 1035, 4070, 102]","[1, 1, 1, 1, 1, 1]","[101, 1045, 2215, 2592, 2055, 5310, 4070, 3972, 20624, 5644, 102]"
BLZ,check_cancellation_fee,I don't know what to do to check  the withdrawal penalty,CANCELLATION_FEE,"[101, 4638, 1035, 16990, 1035, 7408, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2123, 1005, 1056, 2113, 2054, 2000, 2079, 2000, 4638, 1996, 10534, 6531, 102]"
BM,payment_issue,help to solve payment issues,PAYMENT,"[101, 7909, 1035, 3277, 102]","[1, 1, 1, 1, 1]","[101, 2393, 2000, 9611, 7909, 3314, 102]"
B,track_refund,I have to check if there is anything wrong with my refund,REFUND,"[101, 2650, 1035, 25416, 8630, 102]","[1, 1, 1, 1, 1, 1]","[101, 1045, 2031, 2000, 4638, 2065, 2045, 2003, 2505, 3308, 2007, 2026, 25416, 8630, 102]"
BI,delivery_period,how can I check how soon can I expect the delivery?,DELIVERY,"[101, 6959, 1035, 2558, 102]","[1, 1, 1, 1, 1]","[101, 2129, 2064, 1045, 4638, 2129, 2574, 2064, 1045, 5987, 1996, 6959, 1029, 102]"
BLQZ,contact_human_agent,i cant speak tto an agent,CONTACT,"[101, 3967, 1035, 2529, 1035, 4005, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2064, 2102, 3713, 23746, 2080, 2019, 4005, 102]"
BM,check_cancellation_fee,check the cancellation fees,CANCELLATION_FEE,"[101, 4638, 1035, 16990, 1035, 7408, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 4638, 1996, 16990, 9883, 102]"
B,set_up_shipping_address,help to set up a different shipping address,SHIPPING_ADDRESS,"[101, 2275, 1035, 2039, 1035, 7829, 1035, 4769, 102]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[101, 2393, 2000, 2275, 2039, 1037, 2367, 7829, 4769, 102]"
BMP,delete_account,I would like to know about user account deletions,ACCOUNT,"[101, 3972, 12870, 1035, 4070, 102]","[1, 1, 1, 1, 1, 1]","[101, 1045, 2052, 2066, 2000, 2113, 2055, 5310, 4070, 3972, 20624, 5644, 102]"
BIP,delivery_period,could you help me to check how soon can I expect the item?,DELIVERY,"[101, 6959, 1035, 2558, 102]","[1, 1, 1, 1, 1]","[101, 2071, 2017, 2393, 2033, 2000, 4638, 2129, 2574, 2064, 1045, 5987, 1996, 8875, 1029, 102]"
BI,cancel_order,is it possible to cancel my order?,ORDER,"[101, 17542, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 2003, 2009, 2825, 2000, 17542, 2026, 2344, 1029, 102]"
B,edit_account,I need help editing the information on my account,ACCOUNT,"[101, 10086, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2342, 2393, 9260, 1996, 2592, 2006, 2026, 4070, 102]"
B,edit_account,I want assistance to edit my account,ACCOUNT,"[101, 10086, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2215, 5375, 2000, 10086, 2026, 4070, 102]"
BL,contact_human_agent,I want help chatting with someone,CONTACT,"[101, 3967, 1035, 2529, 1035, 4005, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2215, 2393, 22331, 2007, 2619, 102]"
B,newsletter_subscription,find information about the company newsletter subscription,NEWSLETTER,"[101, 17178, 1035, 15002, 102]","[1, 1, 1, 1, 1]","[101, 2424, 2592, 2055, 1996, 2194, 17178, 15002, 102]"
BI,track_refund,what do I have to do to check the status of the refund?,REFUND,"[101, 2650, 1035, 25416, 8630, 102]","[1, 1, 1, 1, 1, 1]","[101, 2054, 2079, 1045, 2031, 2000, 2079, 2000, 4638, 1996, 3570, 1997, 1996, 25416, 8630, 1029, 102]"
BLQ,newsletter_subscription,cancel my subscription to ur newsletter,NEWSLETTER,"[101, 17178, 1035, 15002, 102]","[1, 1, 1, 1, 1]","[101, 17542, 2026, 15002, 2000, 24471, 17178, 102]"
BIP,track_refund,where could I track the refund?,REFUND,"[101, 2650, 1035, 25416, 8630, 102]","[1, 1, 1, 1, 1, 1]","[101, 2073, 2071, 1045, 2650, 1996, 25416, 8630, 1029, 102]"
B,contact_customer_service,I try to check what hours I can contact customer service,CONTACT,"[101, 3967, 1035, 8013, 1035, 2326, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 1045, 3046, 2000, 4638, 2054, 2847, 1045, 2064, 3967, 8013, 2326, 102]"
BLW,create_account,I need help to open a fucking account,ACCOUNT,"[101, 3443, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2342, 2393, 2000, 2330, 1037, 8239, 4070, 102]"
BL,check_cancellation_fee,help me seeing the termination fee,CANCELLATION_FEE,"[101, 4638, 1035, 16990, 1035, 7408, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 2393, 2033, 3773, 1996, 18287, 7408, 102]"
BL,switch_account,help me switching to a new account,ACCOUNT,"[101, 6942, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 2393, 2033, 11991, 2000, 1037, 2047, 4070, 102]"
BL,change_shipping_address,I have an issue trying to correct the address,SHIPPING_ADDRESS,"[101, 2689, 1035, 7829, 1035, 4769, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2031, 2019, 3277, 2667, 2000, 6149, 1996, 4769, 102]"
BIP,track_refund,will you show me my refund status?,REFUND,"[101, 2650, 1035, 25416, 8630, 102]","[1, 1, 1, 1, 1, 1]","[101, 2097, 2017, 2265, 2033, 2026, 25416, 8630, 3570, 1029, 102]"
BM,check_invoice,I can't find the invoice from seven purchases ago,INVOICE,"[101, 4638, 1035, 1999, 6767, 6610, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2064, 1005, 1056, 2424, 1996, 1999, 6767, 6610, 2013, 2698, 17402, 3283, 102]"
BL,edit_account,I am trying to update my account,ACCOUNT,"[101, 10086, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2572, 2667, 2000, 10651, 2026, 4070, 102]"
B,create_account,help me create an account,ACCOUNT,"[101, 3443, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 2393, 2033, 3443, 2019, 4070, 102]"
BI,check_cancellation_fee,where can I check the cancellation fee?,CANCELLATION_FEE,"[101, 4638, 1035, 16990, 1035, 7408, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 2073, 2064, 1045, 4638, 1996, 16990, 7408, 1029, 102]"
BL,complaint,I want assistance lodging a claim against your organization,FEEDBACK,"[101, 12087, 102]","[1, 1, 1]","[101, 1045, 2215, 5375, 26859, 1037, 4366, 2114, 2115, 3029, 102]"
B,get_refund,I want help to get a refund of money,REFUND,"[101, 2131, 1035, 25416, 8630, 102]","[1, 1, 1, 1, 1, 1]","[101, 1045, 2215, 2393, 2000, 2131, 1037, 25416, 8630, 1997, 2769, 102]"
BL,switch_account,I want assistance using a new account,ACCOUNT,"[101, 6942, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2215, 5375, 2478, 1037, 2047, 4070, 102]"
BL,registration_problems,I need assistance notifying of a signup issue,ACCOUNT,"[101, 8819, 1035, 3471, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2342, 5375, 2025, 11787, 1997, 1037, 3696, 6279, 3277, 102]"
BIM,get_invoice,where do I get the invoices from my last purchase?,INVOICE,"[101, 2131, 1035, 1999, 6767, 6610, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 2073, 2079, 1045, 2131, 1996, 1999, 6767, 23522, 2013, 2026, 2197, 5309, 1029, 102]"
BI,change_shipping_address,can you help me changing my shipping address?,SHIPPING_ADDRESS,"[101, 2689, 1035, 7829, 1035, 4769, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 2064, 2017, 2393, 2033, 5278, 2026, 7829, 4769, 1029, 102]"
BI,check_invoice,can I check my invoice?,INVOICE,"[101, 4638, 1035, 1999, 6767, 6610, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 2064, 1045, 4638, 2026, 1999, 6767, 6610, 1029, 102]"
BI,contact_human_agent,can I talk to an agent?,CONTACT,"[101, 3967, 1035, 2529, 1035, 4005, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 2064, 1045, 2831, 2000, 2019, 4005, 1029, 102]"
B,edit_account,I have got to edit my account,ACCOUNT,"[101, 10086, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2031, 2288, 2000, 10086, 2026, 4070, 102]"
BLQ,change_shipping_address,need assistance to edit my delivery address,SHIPPING_ADDRESS,"[101, 2689, 1035, 7829, 1035, 4769, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 2342, 5375, 2000, 10086, 2026, 6959, 4769, 102]"
BL,edit_account,I need assistance to modify the data on my user profile,ACCOUNT,"[101, 10086, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2342, 5375, 2000, 19933, 1996, 2951, 2006, 2026, 5310, 6337, 102]"
BM,delivery_options,show me what options for delivery I have,DELIVERY,"[101, 6959, 1035, 7047, 102]","[1, 1, 1, 1, 1]","[101, 2265, 2033, 2054, 7047, 2005, 6959, 1045, 2031, 102]"
BIM,change_order,how can I remove several items from an order?,ORDER,"[101, 2689, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 2129, 2064, 1045, 6366, 2195, 5167, 2013, 2019, 2344, 1029, 102]"
BLMQ,edit_account,wanna correct the details on my account,ACCOUNT,"[101, 10086, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 10587, 6149, 1996, 4751, 2006, 2026, 4070, 102]"
BI,track_refund,how to check my refund status?,REFUND,"[101, 2650, 1035, 25416, 8630, 102]","[1, 1, 1, 1, 1, 1]","[101, 2129, 2000, 4638, 2026, 25416, 8630, 3570, 1029, 102]"
BEM,place_order,I do not know what I need to do to buy several items,ORDER,"[101, 2173, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2079, 2025, 2113, 2054, 1045, 2342, 2000, 2079, 2000, 4965, 2195, 5167, 102]"
B,delivery_period,I need assistance to check how long the delivery takes,DELIVERY,"[101, 6959, 1035, 2558, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2342, 5375, 2000, 4638, 2129, 2146, 1996, 6959, 3138, 102]"
B,change_order,I want assistance to change an order I have made,ORDER,"[101, 2689, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2215, 5375, 2000, 2689, 2019, 2344, 1045, 2031, 2081, 102]"
B,get_invoice,I have got to get the invoice from June,INVOICE,"[101, 2131, 1035, 1999, 6767, 6610, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2031, 2288, 2000, 2131, 1996, 1999, 6767, 6610, 2013, 2238, 102]"
BIL,newsletter_subscription,can you help me unsubscribe from your corporate newsletter?,NEWSLETTER,"[101, 17178, 1035, 15002, 102]","[1, 1, 1, 1, 1]","[101, 2064, 2017, 2393, 2033, 4895, 6342, 5910, 26775, 20755, 2013, 2115, 5971, 17178, 1029, 102]"
BLQZ,registration_problems,i want support with my online reegistration,ACCOUNT,"[101, 8819, 1035, 3471, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2215, 2490, 2007, 2026, 3784, 2128, 13910, 2923, 8156, 102]"
B,delete_account,help me deleting my account,ACCOUNT,"[101, 3972, 12870, 1035, 4070, 102]","[1, 1, 1, 1, 1, 1]","[101, 2393, 2033, 3972, 20624, 3070, 2026, 4070, 102]"
BI,cancel_order,is it possible to cancel the order I have made?,ORDER,"[101, 17542, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 2003, 2009, 2825, 2000, 17542, 1996, 2344, 1045, 2031, 2081, 1029, 102]"
B,payment_issue,help reporting an issue with payment,PAYMENT,"[101, 7909, 1035, 3277, 102]","[1, 1, 1, 1, 1]","[101, 2393, 7316, 2019, 3277, 2007, 7909, 102]"
B,track_order,help tracking the last order,ORDER,"[101, 2650, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 2393, 9651, 1996, 2197, 2344, 102]"
BI,track_refund,is it possible to check my refund status?,REFUND,"[101, 2650, 1035, 25416, 8630, 102]","[1, 1, 1, 1, 1, 1]","[101, 2003, 2009, 2825, 2000, 4638, 2026, 25416, 8630, 3570, 1029, 102]"
BIM,delivery_options,what delivery options do I have?,DELIVERY,"[101, 6959, 1035, 7047, 102]","[1, 1, 1, 1, 1]","[101, 2054, 6959, 7047, 2079, 1045, 2031, 1029, 102]"
BM,delivery_options,help checking what options for delivery are available,DELIVERY,"[101, 6959, 1035, 7047, 102]","[1, 1, 1, 1, 1]","[101, 2393, 9361, 2054, 7047, 2005, 6959, 2024, 2800, 102]"
BIP,switch_account,would it be possible to use another account?,ACCOUNT,"[101, 6942, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 2052, 2009, 2022, 2825, 2000, 2224, 2178, 4070, 1029, 102]"
BCLQ,newsletter_subscription,wanna check the status of my newsletter subscription help me,NEWSLETTER,"[101, 17178, 1035, 15002, 102]","[1, 1, 1, 1, 1]","[101, 10587, 4638, 1996, 3570, 1997, 2026, 17178, 15002, 2393, 2033, 102]"
BILP,newsletter_subscription,could you help me unsubscribe to the company newsletter?,NEWSLETTER,"[101, 17178, 1035, 15002, 102]","[1, 1, 1, 1, 1]","[101, 2071, 2017, 2393, 2033, 4895, 6342, 5910, 26775, 20755, 2000, 1996, 2194, 17178, 1029, 102]"
BI,track_refund,can you help me to check the status of the refund?,REFUND,"[101, 2650, 1035, 25416, 8630, 102]","[1, 1, 1, 1, 1, 1]","[101, 2064, 2017, 2393, 2033, 2000, 4638, 1996, 3570, 1997, 1996, 25416, 8630, 1029, 102]"
BLQ,complaint,want assistance filing a customer reclamation,FEEDBACK,"[101, 12087, 102]","[1, 1, 1]","[101, 2215, 5375, 15242, 1037, 8013, 27389, 102]"
BEM,payment_issue,I do not know how I can report issues with payment,PAYMENT,"[101, 7909, 1035, 3277, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2079, 2025, 2113, 2129, 1045, 2064, 3189, 3314, 2007, 7909, 102]"
BI,check_payment_methods,how do I check your allowed payment methods?,PAYMENT,"[101, 4638, 1035, 7909, 1035, 4725, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 2129, 2079, 1045, 4638, 2115, 3039, 7909, 4725, 1029, 102]"
B,track_refund,I don't know what to do to check the refund status,REFUND,"[101, 2650, 1035, 25416, 8630, 102]","[1, 1, 1, 1, 1, 1]","[101, 1045, 2123, 1005, 1056, 2113, 2054, 2000, 2079, 2000, 4638, 1996, 25416, 8630, 3570, 102]"
BE,review,I do not know how I can submit some feedback for a service,FEEDBACK,"[101, 3319, 102]","[1, 1, 1]","[101, 1045, 2079, 2025, 2113, 2129, 1045, 2064, 12040, 2070, 12247, 2005, 1037, 2326, 102]"
BI,delivery_period,how to check when will my item arrive?,DELIVERY,"[101, 6959, 1035, 2558, 102]","[1, 1, 1, 1, 1]","[101, 2129, 2000, 4638, 2043, 2097, 2026, 8875, 7180, 1029, 102]"
B,track_order,I want help to track my last order,ORDER,"[101, 2650, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2215, 2393, 2000, 2650, 2026, 2197, 2344, 102]"
BM,change_order,remove some items from an order,ORDER,"[101, 2689, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 6366, 2070, 5167, 2013, 2019, 2344, 102]"
BM,cancel_order,I have problems with cancelling the order I have made,ORDER,"[101, 17542, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2031, 3471, 2007, 17542, 2989, 1996, 2344, 1045, 2031, 2081, 102]"
BM,delivery_options,I want assistance checking what options for delivery I have,DELIVERY,"[101, 6959, 1035, 7047, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2215, 5375, 9361, 2054, 7047, 2005, 6959, 1045, 2031, 102]"
B,check_invoice,I need assistance to find the invoice,INVOICE,"[101, 4638, 1035, 1999, 6767, 6610, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2342, 5375, 2000, 2424, 1996, 1999, 6767, 6610, 102]"
BLQ,switch_account,need assistance using a new user account,ACCOUNT,"[101, 6942, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 2342, 5375, 2478, 1037, 2047, 5310, 4070, 102]"
B,track_refund,I want help tracking the refund,REFUND,"[101, 2650, 1035, 25416, 8630, 102]","[1, 1, 1, 1, 1, 1]","[101, 1045, 2215, 2393, 9651, 1996, 25416, 8630, 102]"
BM,delivery_options,I have got to check what delivery options are available,DELIVERY,"[101, 6959, 1035, 7047, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2031, 2288, 2000, 4638, 2054, 6959, 7047, 2024, 2800, 102]"
BIM,delivery_options,how can I check what delivery options I have?,DELIVERY,"[101, 6959, 1035, 7047, 102]","[1, 1, 1, 1, 1]","[101, 2129, 2064, 1045, 4638, 2054, 6959, 7047, 1045, 2031, 1029, 102]"
B,change_order,assistance changing the last order I made,ORDER,"[101, 2689, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 5375, 5278, 1996, 2197, 2344, 1045, 2081, 102]"
